epoch,total,silhouette,laplacian,edge,normal
0,0.17780102789402008,0.17292025685310364,0.01393355242908001,0.02281520701944828,0.0039059706032276154
1,0.5037968754768372,0.44278958439826965,0.3179074227809906,0.22477811574935913,0.9693495035171509
2,0.38005876541137695,0.3400782644748688,0.21450519561767578,0.13663692772388458,0.8363005518913269
3,0.2510516047477722,0.21485239267349243,0.19703282415866852,0.11620278656482697,0.9017987847328186
4,0.20443466305732727,0.16357916593551636,0.22449618577957153,0.13321031630039215,0.9723501205444336
5,0.15701419115066528,0.1168319508433342,0.22315841913223267,0.132135808467865,0.9291909337043762
6,0.11293109506368637,0.07519223541021347,0.2097046822309494,0.12233221530914307,0.907832145690918
7,0.108799509704113,0.07242469489574432,0.19950172305107117,0.119472436606884,0.849029541015625
8,0.09901003539562225,0.061585359275341034,0.2032238394021988,0.12323418259620667,0.8713358640670776
9,0.08572760224342346,0.04623525217175484,0.2113606333732605,0.13143287599086761,0.8978564739227295
10,0.0835476815700531,0.04282813519239426,0.2149285227060318,0.1387486457824707,0.8671243190765381
11,0.07803991436958313,0.037131085991859436,0.2124762237071991,0.14099380373954773,0.8460540175437927
12,0.07407786697149277,0.03300665691494942,0.20971298217773438,0.14280499517917633,0.8315950632095337
13,0.06943202018737793,0.028933634981513023,0.20531520247459412,0.1419236660003662,0.80073481798172
14,0.06601888686418533,0.024933304637670517,0.2063441425561905,0.1447477489709854,0.8009150624275208
15,0.06706100702285767,0.025237008929252625,0.20856232941150665,0.1489764302968979,0.7857459783554077
16,0.06924495100975037,0.026964252814650536,0.20912933349609375,0.15241298079490662,0.7615517377853394
17,0.06842367351055145,0.02643086202442646,0.2062407284975052,0.15292352437973022,0.7283291816711426
18,0.05883067101240158,0.017631977796554565,0.2006732076406479,0.1500672549009323,0.7171778082847595
19,0.058374904096126556,0.018164684996008873,0.19452808797359467,0.1461704820394516,0.7085562944412231
20,0.059869907796382904,0.020422466099262238,0.18973465263843536,0.14348286390304565,0.69561767578125
21,0.059621505439281464,0.021093884482979774,0.18452797830104828,0.13993504643440247,0.6850054264068604
22,0.06074059009552002,0.0231148824095726,0.18025121092796326,0.13703636825084686,0.6613409519195557
23,0.0553317591547966,0.01855260692536831,0.17639866471290588,0.13466551899909973,0.6318074464797974
24,0.060316383838653564,0.024256573989987373,0.1726333200931549,0.1321631819009781,0.617451012134552
25,0.05209227651357651,0.017015378922224045,0.16778716444969177,0.12867371737957,0.5986409783363342
26,0.05436934530735016,0.020065685734152794,0.16346438229084015,0.12605193257331848,0.5823982954025269
27,0.05430319160223007,0.02087881974875927,0.1587732583284378,0.12283281236886978,0.5682342052459717
28,0.05554107949137688,0.022900648415088654,0.15454111993312836,0.11957693099975586,0.5634222626686096
29,0.049630098044872284,0.017491638660430908,0.15157261490821838,0.11778869479894638,0.5549265146255493
30,0.05219500511884689,0.020610732957720757,0.14842136204242706,0.11586779356002808,0.5442287921905518
31,0.04979868233203888,0.01910172402858734,0.14471560716629028,0.11229746043682098,0.5343155264854431
32,0.04479483887553215,0.015044949017465115,0.14074374735355377,0.10888747870922089,0.5157521367073059
33,0.04815118759870529,0.019012408331036568,0.13787056505680084,0.1068812906742096,0.5005108714103699
34,0.044546544551849365,0.015840215608477592,0.13530521094799042,0.10503391921520233,0.49934396147727966
35,0.04305904731154442,0.015337233431637287,0.13169997930526733,0.10135577619075775,0.48166564106941223
36,0.04086264595389366,0.01400342583656311,0.12772442400455475,0.09729199856519699,0.4846329987049103
37,0.04072271287441254,0.01444243360310793,0.12619195878505707,0.09502208232879639,0.47520241141319275
38,0.04198155552148819,0.01591826044023037,0.12498483061790466,0.09393196552991867,0.47772088646888733
39,0.041495636105537415,0.01598213240504265,0.12240108847618103,0.09195315092802048,0.4674849212169647
40,0.03987646847963333,0.015009196475148201,0.11928659677505493,0.08998250216245651,0.4485037922859192
41,0.038355059921741486,0.013957102783024311,0.11610652506351471,0.08833207190036774,0.4409411549568176
42,0.03678309917449951,0.012801877222955227,0.11396407335996628,0.08661271631717682,0.4379396438598633
43,0.038113825023174286,0.014440693892538548,0.11230812966823578,0.08566269278526306,0.4294429421424866
44,0.036295242607593536,0.012837517075240612,0.11102332174777985,0.08489380776882172,0.4258496165275574
45,0.0363626554608345,0.013014178723096848,0.10987112671136856,0.08433458209037781,0.4284136891365051
46,0.03638533502817154,0.013163023628294468,0.1081601157784462,0.0841241329908371,0.42342835664749146
47,0.036912932991981506,0.013949783518910408,0.1068011000752449,0.08338059484958649,0.41510069370269775
48,0.03679085895419121,0.014015118591487408,0.10558392107486725,0.08236031234264374,0.4191999137401581
49,0.035132408142089844,0.012874196283519268,0.10334603488445282,0.08039359748363495,0.4112570881843567
50,0.0364522710442543,0.014722008258104324,0.10104569792747498,0.07804466784000397,0.41004177927970886
51,0.033664774149656296,0.012679008767008781,0.0984921082854271,0.07543482631444931,0.39289578795433044
52,0.034165073186159134,0.013590146787464619,0.09699800610542297,0.07342491298913956,0.39499861001968384
53,0.03396652638912201,0.013799693435430527,0.09506062418222427,0.07175308465957642,0.3915002644062042
54,0.03205110505223274,0.012273646891117096,0.09377960860729218,0.07017765939235687,0.38663339614868164
55,0.03186526522040367,0.012195102870464325,0.09418682754039764,0.06908602267503738,0.3969220221042633
56,0.03335915505886078,0.013508905656635761,0.09526636451482773,0.06962279975414276,0.40203607082366943
57,0.03226158022880554,0.012298635207116604,0.09591616690158844,0.07040666788816452,0.3963286876678467
58,0.032087430357933044,0.012238899245858192,0.09616506099700928,0.07021106034517288,0.3883015513420105
59,0.03229213133454323,0.012675892561674118,0.09449130296707153,0.06879386305809021,0.3967638611793518
60,0.03168587014079094,0.01265150960534811,0.09128682315349579,0.06668184697628021,0.387225478887558
61,0.03276762366294861,0.01415950432419777,0.08842816948890686,0.0653098002076149,0.3777594566345215
62,0.03034069761633873,0.012021414004266262,0.086638905107975,0.0640772357583046,0.3771057724952698
63,0.030221670866012573,0.011991160921752453,0.08676841855049133,0.06314925849437714,0.3865290880203247
